variance,skewness,curtosis,entropy,class,result
-2.7723,3.2777,-0.9351,-3.1457,1.0,1.0
-1.8356,-6.7562,5.0585,-0.5504399999999999,1.0,1.0
0.81583,4.84,-5.2613,-6.0823,1.0,1.0
-1.6706,-2.09,1.584,0.71162,1.0,1.0
-6.1632,8.7096,-0.21620999999999999,-3.6345,1.0,0.0
-0.69745,-1.7672,-0.34474,-0.12372000000000001,1.0,1.0
2.031,1.8519999999999999,-3.0121,0.003003,1.0,0.0
-2.3898,-0.78427,3.0141,0.76205,1.0,1.0
0.7406699999999999,1.7299,-3.1963,-0.1457,1.0,0.0
-3.3793,-13.7731,17.9274,-2.0323,1.0,0.0
-3.8826,4.898,-0.92311,-5.0801,1.0,1.0
-4.4996,3.4288,0.56265,-1.1672,1.0,1.0
-3.9297,-6.0816,10.0958,-1.0147,1.0,1.0
0.50813,0.47798999999999997,-1.9804,0.57714,1.0,0.0
-1.3968,-9.6698,9.4652,-0.34872,1.0,1.0
-3.9411,-12.8792,13.0597,-3.3125,1.0,1.0
-2.0754,1.2767,-0.6420600000000001,-1.2642,1.0,1.0
0.66365,-0.045533,-0.18794,0.23446999999999998,1.0,0.0
-0.71868,-5.7154,3.8298,1.0233,1.0,1.0
0.52374,3.6439999999999997,-4.0746,-1.9909,1.0,0.0
-1.0112,2.9984,-1.1664,-1.6185,1.0,1.0
-1.6936,2.7852,-2.1835,-1.9276,1.0,1.0
-1.1667,-1.4237,2.9241,0.6611899999999999,1.0,1.0
-4.4775,-13.0303,17.0834,-3.0345,1.0,1.0
-1.8439,-8.6475,7.6796,-0.66682,1.0,1.0
-0.41965,2.9094,-1.7859,-2.2069,1.0,1.0
-2.9019999999999997,-7.6563,11.8318,-0.8426799999999999,1.0,1.0
-2.121,-0.05587999999999999,1.949,1.3530000000000002,1.0,1.0
-2.7028,1.6327,0.83598,-0.09139299999999999,1.0,1.0
-2.8619,4.5193,-0.58123,-4.2629,1.0,1.0
-2.5526,-7.3625,6.9255,-0.66811,1.0,1.0
-1.4427,3.2922,-1.9702,-3.4392,1.0,1.0
-2.1405,-0.16762,1.321,-0.20906,1.0,1.0
0.0040545,0.62905,-0.6412100000000001,0.75817,1.0,1.0
-1.2568,-1.4733,2.8718,0.44653000000000004,1.0,1.0
-0.55648,3.2136,-3.3085,-2.7965,1.0,1.0
-2.565,-5.7899,6.0122,0.046968,1.0,1.0
-2.9138,-9.4711,9.7668,-0.60216,1.0,1.0
-1.2792,2.1376,-0.47584,-1.3974,1.0,1.0
0.39011999999999997,-0.14279,-0.031994,0.35084,1.0,0.0
-1.8969,-6.7893,5.2761,-0.32544,1.0,1.0
-4.8554,-5.9037,10.9818,-0.82199,1.0,1.0
-3.3203,-0.026910000000000003,2.9618,-0.44958000000000004,1.0,1.0
-1.5252,-6.2534,5.3524,0.59912,1.0,1.0
1.208,4.0744,-4.7635,-2.6129,1.0,0.0
-4.211,-12.4736,14.9704,-1.3884,1.0,1.0
-2.4198,-0.24418,0.7014600000000001,0.41808999999999996,1.0,1.0
0.30080999999999997,0.17381,-1.7542,0.48921000000000003,1.0,1.0
-3.793,-12.7095,12.7957,-2.825,1.0,1.0
-3.8203,-13.0551,16.9583,-2.3052,1.0,1.0
-3.7181,-8.5089,12.363,-0.9551799999999999,1.0,1.0
-6.5084,8.7696,0.23190999999999998,-3.937,1.0,0.0
0.5593899999999999,-0.3104,0.18307,0.44653000000000004,1.0,0.0
-2.7264,3.9213,-0.49212,-3.6371,1.0,1.0
-4.8861,7.0542,-0.17252,-6.959,1.0,1.0
-0.10234,1.8189,-2.2169,-0.56725,1.0,1.0
0.90407,3.3708,-4.4987,-3.6965,1.0,1.0
-2.8957,-12.0205,11.9149,-2.7552,1.0,1.0
-1.749,-6.332000000000001,6.0987,0.14265999999999998,1.0,1.0
-0.62684,-6.301,4.7843,1.1059999999999999,1.0,1.0
-5.2406,6.6258,-0.19908,-6.8607,1.0,1.0
-6.5235,9.6014,-0.25392,-6.9642,1.0,0.0
-4.4779,7.3708,-0.31218,-6.7754,1.0,0.0
-2.8989999999999996,-0.60424,2.6045,1.3776,1.0,1.0
0.7376,4.8525,-4.7986,-5.6659,1.0,1.0
-1.4106,-7.108,5.6454,0.31335,1.0,1.0
-2.5463,3.1101,-0.8322799999999999,-3.0358,1.0,1.0
-1.7101,-8.7903,7.9735,-0.45475,1.0,1.0
-1.9983,-6.6072,4.8254,-0.41984,1.0,1.0
-2.7338,0.45523,2.4391,0.21766,1.0,1.0
-4.4861,-13.2889,17.3087,-3.2194,1.0,1.0
-4.0214,-12.8006,15.6199,-0.95647,1.0,1.0
-2.3142,-0.68494,1.9833,-0.44828999999999997,1.0,1.0
0.50225,0.65388,-1.1793,0.39998,1.0,0.0
-2.5961,-9.349,9.7942,-0.28018000000000004,1.0,1.0
-0.9607,2.6963,-3.1226,-1.3121,1.0,1.0
-5.6370000000000005,8.1261,0.13080999999999998,-5.0142,1.0,0.0
-1.7589,-6.4624,8.4773,0.31981,1.0,1.0
-1.3907,-1.3781,2.3055,-0.021566,1.0,1.0
-2.456,-0.24418,1.4041,-0.45863000000000004,1.0,1.0
-1.8483,0.31038000000000004,0.77344,1.4189,1.0,1.0
-0.071503,3.7412,-4.5415,-4.2526,1.0,1.0
-2.1786,-6.4479,6.0344,-0.20776999999999998,1.0,1.0
-3.5741,3.944,-0.07912000000000001,-2.1203,1.0,1.0
-1.7697,3.4329,-1.2144,-2.3789,1.0,1.0
-3.2238,2.7935,0.32274,-0.8607799999999999,1.0,1.0
-0.55355,-7.9233,6.7156,0.7439399999999999,1.0,1.0
-2.5419,-0.65804,2.6842,1.1952,1.0,1.0
-3.5713,-12.4922,14.8881,-0.47026999999999997,1.0,1.0
-1.5951,-6.572,4.7689,-0.9435399999999999,1.0,1.0
-0.90784,-7.9026,6.7807,0.34179,1.0,1.0
-2.3518,-4.8359,6.6479,-0.060358,1.0,1.0
-5.1661,8.0433,0.044265,-4.4983,1.0,0.0
1.2309,3.8923,-4.8277,-4.0069,1.0,1.0
-2.9915,-6.6258,8.6521,1.8198,1.0,1.0
-2.2617,-4.7428,6.3489,0.11162000000000001,1.0,1.0
0.12125999999999999,0.22346999999999997,-0.47326999999999997,0.97024,1.0,1.0
-2.258,-9.3263,9.3727,-0.85949,1.0,1.0
0.1848,6.5079,2.0133,-0.8724200000000001,0.0,1.0
4.2899,9.1814,-4.6067,-4.3263,0.0,0.0
4.2772,2.4955,0.48553999999999997,0.36119,0.0,0.0
4.9362,7.6046,-2.3429,-0.8530200000000001,0.0,0.0
0.9297,-3.7971,4.6429,-0.2957,0.0,0.0
0.93584,8.8855,-1.6831,-1.6599,0.0,0.0
4.0405,0.5152399999999999,1.0279,1.1059999999999999,0.0,0.0
