variance,skewness,curtosis,entropy,class,result
-0.8940899999999999,3.1991,-1.8219,-2.9452,1.0,1.0
0.24261,0.57318,-1.9402,0.44006999999999996,1.0,1.0
1.3518,1.0595,-2.3437,0.39998,1.0,0.0
-3.9698,3.6812,-0.6000800000000001,-4.0133,1.0,1.0
0.40614,1.3492,-1.4501,-0.5594899999999999,1.0,0.0
-0.8734,-0.033118,-0.20165,0.55774,1.0,1.0
0.5393600000000001,3.8944,-4.8166,-4.3418,1.0,1.0
-1.2667,2.8183,-2.426,-1.8862,1.0,1.0
-1.6637,3.2881,-2.2701,-2.2224,1.0,1.0
-5.3857,9.1214,-0.41928999999999994,-5.9181,1.0,0.0
-2.0336,-1.4092,1.1582,0.36507,1.0,1.0
-3.5933,0.22968000000000002,0.7126,-0.3332,1.0,1.0
-5.4414,7.2363,0.10937999999999999,-7.5642,1.0,1.0
-0.3489,3.1929,-3.4054,-3.1832,1.0,1.0
-3.38,-0.7077,2.5325,0.71808,1.0,1.0
-0.9358700000000001,-5.1008,4.5367,1.3866,1.0,1.0
-1.7886,-6.3486,5.6154,0.42583999999999994,1.0,1.0
-2.6649,-12.812999999999999,12.6689,-1.9082,1.0,1.0
-0.24745,1.9368,-2.4697,-0.80518,1.0,1.0
-3.1128,-6.841,10.7402,-1.0172,1.0,1.0
-2.0662,0.16967000000000002,-1.0054,-0.82975,1.0,1.0
-2.3629,-0.10554000000000001,1.9336,1.1358,1.0,1.0
-1.8046,-6.8141,6.7019,1.1681,1.0,1.0
-2.7083,-6.8266,7.5339,0.59007,1.0,1.0
-1.8076,-8.8131,8.7086,-0.21681999999999998,1.0,1.0
-2.8391,-6.63,10.4849,-0.42113,1.0,1.0
-3.8483,-12.8047,15.6824,-1.281,1.0,1.0
-3.0265,-0.062088,0.68604,-0.055186,1.0,1.0
-2.0659,1.0512,-0.46298,-1.0974,1.0,1.0
-4.8392,6.6755,-0.24278000000000002,-6.5775,1.0,1.0
-2.3299,-9.9532,8.4756,-1.8733,1.0,1.0
-1.7582,2.7397,-2.5323,-2.234,1.0,1.0
-0.63298,-5.1277,4.5624,1.4797,1.0,1.0
-0.49081,2.8452,-3.6436,-3.1004,1.0,1.0
0.61652,3.8944,-4.7275,-4.3948,1.0,1.0
-2.2987,-5.227,5.63,0.91722,1.0,1.0
-2.1241,-6.8969,5.5992,-0.47156000000000003,1.0,1.0
-3.0986,-10.4602,8.9717,-2.3427,1.0,1.0
0.22432,-0.52147,-0.40386,1.2017,1.0,1.0
-1.6029,-0.38903000000000004,1.62,1.9103,1.0,1.0
-3.0193,1.7775,0.73745,-0.45346000000000003,1.0,1.0
-3.1366,0.42212,2.6225,-0.064238,1.0,1.0
-3.9594,4.0289,-0.35845,-3.8957,1.0,1.0
0.89512,4.7738,-4.8431,-5.5909,1.0,1.0
-1.0833,-0.31246999999999997,1.2815,0.41291000000000005,1.0,1.0
-4.1429,2.7749,0.68261,-0.7198399999999999,1.0,1.0
-2.4349,-9.2497,8.9922,-0.5000100000000001,1.0,1.0
-3.8858,-12.8461,12.7957,-3.1353,1.0,1.0
-1.682,-6.8121,7.1398,1.3323,1.0,1.0
-3.3458,-0.5049100000000001,2.6328,0.53705,1.0,1.0
-3.8167,5.1401,-0.65063,-5.4306,1.0,1.0
-2.4621,2.7645,-0.62578,-2.8573,1.0,1.0
-3.6053,-5.974,10.0916,-0.8284600000000001,1.0,1.0
-3.8552,3.5219,-0.38415,-3.8608,1.0,1.0
-1.6244,-6.3444,4.6575,0.16981,1.0,1.0
0.26877,4.987,-5.1508,-6.3913,1.0,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0,1.0
-2.5912,-0.10554000000000001,1.2798,1.0414,1.0,1.0
-2.41,3.7433,-0.40215,-1.2953,1.0,1.0
